iteration,feature,train_split,model_params,mae,mse
1,['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'],[    0     1     2 ... 12610 12611 12612],"[500, 0.5, None, 0.01]",10.027309638652612,179.45622289652812
2,['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'],[    0     1     2 ... 12610 12611 12612],"[500, 0.5, None, 0.01]",10.224566992100005,184.70640074017408
3,['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'],[    0     1     3 ... 12610 12611 12612],"[500, 0.5, None, 0.01]",10.736506476013252,219.13757682031527
4,['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'],[    0     1     2 ... 12610 12611 12612],"[500, 0.5, None, 0.01]",9.827927061065889,169.33096428218568
5,['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'],[    1     2     3 ... 12610 12611 12612],"[500, 0.5, None, 0.01]",10.072826623277312,178.4187463469177
6,['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'],[    0     1     2 ... 12610 12611 12612],"[500, 0.5, None, 0.01]",10.543930179236906,201.17214166910176
7,['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'],[    0     1     2 ... 12610 12611 12612],"[500, 0.5, None, 0.01]",10.419729464623764,195.81111221977994
8,['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'],[    0     2     3 ... 12608 12609 12610],"[500, 0.5, None, 0.01]",10.328694108004148,207.48303736297578
9,['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'],[    0     1     2 ... 12610 12611 12612],"[500, 0.5, None, 0.01]",10.475666413516086,198.8736148191421
10,['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'],[    0     1     2 ... 12609 12611 12612],"[500, 0.5, None, 0.01]",10.204916074002467,185.57988340115068
1,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75
 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99]",[    0     1     2 ... 12610 12611 12612],"[500, None, None, 0.01]",10.039128677941209,177.72176418945904
2,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75
 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99]",[    0     1     2 ... 12610 12611 12612],"[200, 0.75, 10, 0.01]",10.166900764325845,182.76806115666776
3,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75
 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99]",[    0     1     3 ... 12610 12611 12612],"[500, None, None, 0.01]",10.643042206471513,216.05412176367028
4,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75
 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99]",[    0     1     2 ... 12610 12611 12612],"[500, 0.5, None, 0.01]",9.88764837328937,169.69923371800252
5,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75
 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99]",[    1     2     3 ... 12610 12611 12612],"[200, 0.75, 10, 0.01]",9.962413562474477,174.05807209477118
6,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75
 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99]",[    0     1     2 ... 12610 12611 12612],"[200, 0.75, 10, 0.01]",10.429371392637888,195.98967193757994
7,"['inspection_average_prev_penalty_scores' 'inspection_prev_penalty_score'
 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75
 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99]",[    0     1     2 ... 12610 12611 12612],"[200, None, None, 0.01]",10.412464556580495,193.7080823518552
